Title,Price,Promotional Price,Price Per,Product URL,Image URL
Philadelphia Original Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311678197,https://digitalcontent.api.tesco.com/v2/media/ghs/4871bb58-75b9-41b8-b12e-62124d6fd1c0/cc16a017-68b5-40aa-bbf6-109d16712bfe_107500860.jpeg?h=225&w=225
Kilmeaden Mature Red 200G Fw,€2.99,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€14.95/kg,https://www.tesco.ie/groceries/en-IE/products/268828181,https://digitalcontent.api.tesco.com/v2/media/ghs/9f3b0dd3-55a3-47b1-80ef-1a881f5b1489/snapshotimagehandler_633867728.jpeg?h=225&w=225
Cheestrings Original 8Pk Cheese Snacks 160G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/273196994,https://digitalcontent.api.tesco.com/v2/media/ghs/08a14dd7-1c8b-4d55-af19-7667009a9020/7432e7b7-d1bb-41e1-afc6-6170ef65ea8d.jpeg?h=225&w=225
Dairylea Dunkers Jumbo Tubes Snacks 4 pack 4x41G,€3.50,€2.50 Clubcard Price,€21.34/kg,https://www.tesco.ie/groceries/en-IE/products/308856345,https://digitalcontent.api.tesco.com/v2/media/ghs/11e05e89-1c95-4081-bd87-4b492b660501/4993fe89-b1f0-4608-899d-1c98f1b8caec_1965826466.jpeg?h=225&w=225
Kerry Easi Singles Original 20 Slices 340G,€3.69,€2.50 Clubcard Price,€10.85/kg,https://www.tesco.ie/groceries/en-IE/products/313844487,https://digitalcontent.api.tesco.com/v2/media/ghs/8872773a-d422-4e08-9851-37efe1e0425d/e7618b6b-5aa1-4bda-aef1-447fea7d2a55_1264046145.jpeg?h=225&w=225
Cheestrings Twisted Cheese Snacks 8Pk 160G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/273197112,https://digitalcontent.api.tesco.com/v2/media/ghs/d5773573-d8b8-41c1-9b8d-b7433e6e6600/e3099ad2-568b-4749-b03b-fb69f78d0171.jpeg?h=225&w=225
Kilmeadan Fully Mature White 200G,€3.50,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/268828215,https://digitalcontent.api.tesco.com/v2/media/ghs/8ee94381-4a13-4fef-87b1-d01c1bc4a34a/snapshotimagehandler_1672027449.jpeg?h=225&w=225
Tesco Finest Parmigiano Reggiano 170 G,€3.49,Any 3 for €10 Clubcard Price - Selected Cheese Products,€20.53/kg,https://www.tesco.ie/groceries/en-IE/products/276772509,https://digitalcontent.api.tesco.com/v2/media/ghs/14c751cf-0705-477c-bbd8-0f6dccacec0b/e713f553-914a-4fd9-99eb-83e4bac525ba.jpeg?h=225&w=225
Philadelphia Lightest Low Fat Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311679395,https://digitalcontent.api.tesco.com/v2/media/ghs/4fb4199b-c8cd-41cc-a477-c243a9d866d4/188c1e70-e043-4f97-95dd-a3f56952b1ad_1778006146.jpeg?h=225&w=225
"Mini Babybel Original Cheese 6 Pack, 120 G",€2.80,€2.25 Clubcard Price,€23.33/kg,https://www.tesco.ie/groceries/en-IE/products/253780736,https://digitalcontent.api.tesco.com/v2/media/ghs/b2412946-f312-4bc3-ab6c-05142a555061/9daff8b9-a4c4-4dd9-896d-30941239d46c.jpeg?h=225&w=225
Philadelphia Light Soft Cream Cheese Snacks Mini Tub 4 Pack 140G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€18.93/kg,https://www.tesco.ie/groceries/en-IE/products/255721257,https://digitalcontent.api.tesco.com/v2/media/ghs/f2be3871-2f69-495d-b151-16b6bdcdc8cf/6996d4c6-a9e0-49ed-bc2a-b0283d2e3204.jpeg?h=225&w=225
Laughing Cow Original Cheese Spread Triangles 8 Pack 133G,€2.65,€2.00 Clubcard Price,€19.92/kg,https://www.tesco.ie/groceries/en-IE/products/309490147,https://digitalcontent.api.tesco.com/v2/media/ghs/eb66aa7b-801e-4ef4-8d3e-dd41ed87641f/ea38ffed-c93b-4ff1-9766-9710d5228382_891695459.jpeg?h=225&w=225
Cashel Blue Farmhouse Blue Cheese 125G,€3.49,Any 3 for €10 Clubcard Price - Selected Cheese Products,€27.92/kg,https://www.tesco.ie/groceries/en-IE/products/268563965,https://digitalcontent.api.tesco.com/v2/media/ghs/d5e9deca-452e-4ac4-b01e-3d09b515b0ae/snapshotimagehandler_904207193.jpeg?h=225&w=225
Kilmeadan Mature White 200G,€2.99,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€14.95/kg,https://www.tesco.ie/groceries/en-IE/products/268828209,https://digitalcontent.api.tesco.com/v2/media/ghs/7f91c5b1-dd4e-45ab-97e5-e7d1bda27f9e/snapshotimagehandler_1094588655.jpeg?h=225&w=225
Philadelphia Original Soft Cream Cheese Mini Tub 4 Pack 140G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€18.93/kg,https://www.tesco.ie/groceries/en-IE/products/293353820,https://digitalcontent.api.tesco.com/v2/media/ghs/63db54d0-9dea-46a9-8e71-56d99f9a7f3f/d6c15897-fb1a-462e-9fdb-e53fc47de7f5_835133652.jpeg?h=225&w=225
Tesco Finest Reserve Swiss Gruyere Cheese 195 G,€3.99,Any 3 for €10 Clubcard Price - Selected Cheese Products,€20.46/kg,https://www.tesco.ie/groceries/en-IE/products/260655103,https://digitalcontent.api.tesco.com/v2/media/ghs/1fdd8a66-3666-4175-b61e-53e03ee8982f/8323e42a-0c02-4443-81a1-4cd45908d234.jpeg?h=225&w=225
Philadelphia Garlic & Herbs Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311794004,https://digitalcontent.api.tesco.com/v2/media/ghs/3114c847-2b5e-4637-aef6-b121c1836e87/74b024e5-d09a-45ba-a394-078e687b35e5_781799042.jpeg?h=225&w=225
