Title,Price,Promotional Price,Price Per,Product URL,Image URL
Hearty Food Co. Garlic Baguette 170G,€0.34,,€2.00/kg,https://www.tesco.ie/groceries/en-IE/products/300917822,https://digitalcontent.api.tesco.com/v2/media/ghs/05d3808e-b9f3-4374-ad8a-48a33a7e0542/07ce576a-b80a-4d6e-aadc-63dcb381805d.jpeg?h=225&w=225
Cully & Sully Chicken & Vegetable Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663706,https://digitalcontent.api.tesco.com/v2/media/ghs/22a5bc73-8d95-4ab2-ac61-6e646567f04b/d84d509b-c769-456a-9b7f-37f6e775ee40.jpeg?h=225&w=225
Pizza Da Piero Fresh Pizza Base 280G,€3.99,,€14.25/kg,https://www.tesco.ie/groceries/en-IE/products/278656299,https://digitalcontent.api.tesco.com/v2/media/ghs/25e72c62-145a-43de-81b6-2ec5300792d8/snapshotimagehandler_275943904.jpeg?h=225&w=225
Tesco 2 Garlic Baguettes 410g,€1.50,,€3.66/kg,https://www.tesco.ie/groceries/en-IE/products/307362677,https://digitalcontent.api.tesco.com/v2/media/ghs/aafc72fb-ecf3-46da-b0b3-78c56581a513/82eaf410-7d16-4618-ae35-e01cf410c6ed.jpeg?h=225&w=225
Tesco Chicken And Vegetable Soup 400G,€1.80,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/300822611,https://digitalcontent.api.tesco.com/v2/media/ghs/d1e3688a-082a-41b6-a407-4adccd6c63c5/snapshotimagehandler_508802452.jpeg?h=225&w=225
Tesco Pizza Pepperoni 120G,€1.46,,€12.17/kg,https://www.tesco.ie/groceries/en-IE/products/291124830,https://digitalcontent.api.tesco.com/v2/media/ghs/d903fd07-907d-42a3-a042-0c9d6d316062/0e2491ca-e9e8-4662-b5bf-46409af086c2.jpeg?h=225&w=225
Cully And Sully Tomato & Basil Soup 400 G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663739,https://digitalcontent.api.tesco.com/v2/media/ghs/8a4b640b-4d83-485f-ae1b-cc2265947134/cd93e8af-7ecc-4b48-a60f-56507e590264.jpeg?h=225&w=225
Tesco Tomato And Basil Soup 400G,€1.80,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/300822732,https://digitalcontent.api.tesco.com/v2/media/ghs/7941ed5a-4fe9-4c90-90de-3605aa3e0881/snapshotimagehandler_465777348.jpeg?h=225&w=225
Cully & Sully Vegetable Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/259852850,https://digitalcontent.api.tesco.com/v2/media/ghs/bc43b506-8064-485f-b30e-fa4ff2644106/888ad9ef-e9b0-4dee-8174-e39a67a334f0_1479937494.jpeg?h=225&w=225
Tesco Pepperoni Pizza 280G,€2.50,,€8.93/kg,https://www.tesco.ie/groceries/en-IE/products/310675389,https://digitalcontent.api.tesco.com/v2/media/ghs/97379cbd-5ac6-4b1c-be33-dbd4e01fbb6e/e32e2c9a-29a8-4068-b3f4-349508b5b40c_447343563.jpeg?h=225&w=225
Tesco Vegetable Soup 400G,€1.80,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/300822679,https://digitalcontent.api.tesco.com/v2/media/ghs/2fbef6c7-ff8e-4d30-8d4b-ad977372d458/snapshotimagehandler_1976732804.jpeg?h=225&w=225
